,breakfast,cancelation,guest_reviews,location,price_AZN,review_number,title,type_room,distance_km,latitude,longitude
143,No,Yes,,Nasimi,128.0,,Piramida.apartment,Three-Bedroom Apartment,0.6,40.39482299502607,49.82684828968684
144,No,Yes,,Sabayil,130.0,,Дом у главный трассы,Deluxe Villa,3.6,40.34018472008257,49.81870865057885
145,Yes,No,Score under 7,Nasimi,135.0,1,Port Baku Residance One Bedroom,Deluxe King Room,2.1,40.39482299502607,49.82684828968684
146,No,No,Exceptional,Sabayil,119.0,4,Deniz Inn Apartment,Apartment with Garden View,1.1,40.34018472008257,49.81870865057885
147,No,Yes,,Nasimi,72.0,,Квартира,Two-Bedroom House,0.3,40.39482299502607,49.82684828968684
148,No,No,Very Good,Yasamal,110.0,43,Amber Hotel,Double or Twin Room,1.2,40.37910692339686,49.809651649057464
149,No,No,Exceptional,Sabayil,146.0,10,Gulluoglu Royal Deluxe Apartment,Deluxe Apartment,0.6,40.34018472008257,49.81870865057885
150,No,No,,Nasimi,116.0,,Mercury sweet house,Two-Bedroom Apartment,0.5,40.39482299502607,49.82684828968684
151,No,Yes,,Sabayil,60.0,,Boulvard apartment,Two-Bedroom Apartment,1.1,40.34018472008257,49.81870865057885
152,No,Yes,Exceptional,Other,30.0,4,West Shine Boutique Hotel,Single Room,,,
153,Yes,No,Exceptional,Yasamal,79.0,5,Miraj hotel,Standard Double Room,1.9,40.37910692339686,49.809651649057464
154,No,Yes,Exceptional,Nasimi,333.0,1,Luxary Apartment ISR Plaza,Three-Bedroom Apartment,0.2,40.39482299502607,49.82684828968684
155,No,Yes,Score under 7,Other,200.0,10,Sea Breeze Apartments,Deluxe Double Room with Balcony and Sea View,5.9,,
156,No,Yes,,Sabayil,49.0,,Dublex apartment in Fountains,One-Bedroom Apartment,0.15,40.34018472008257,49.81870865057885
157,No,Yes,,Sabayil,100.0,,3 komnotnaya kvartira,Three-Bedroom Apartment,0.5,40.34018472008257,49.81870865057885
158,No,No,Exceptional,Sabayil,135.0,1,Sea View Apartment Burj Khalifa,Apartment with Sea View,0.7,40.34018472008257,49.81870865057885
159,No,No,Good,Other,78.0,17,Manor Hotel,Standard Double Room,1.7,,
160,No,Yes,Exceptional,Other,90.0,11,Park Azure Apartment Deluxe 2 Bedroom,Two-Bedroom Apartment,3.3,,
161,No,No,Wonderful,Other,198.0,1,Sweet apartment in Baku Palace,Three-Bedroom Apartment,2.5,,
162,No,No,,Sabayil,41.0,,Solo Inn Hotel,Small Single Room,0.35,40.34018472008257,49.81870865057885
163,No,No,Exceptional,Sabayil,152.0,5,Azneft Square Flame Towers View Apartment,Deluxe Apartment,,40.34018472008257,49.81870865057885
164,No,No,Very Good,Nasimi,81.0,22,Diplomat Suites,Deluxe Queen Studio ,1.1,40.39482299502607,49.82684828968684
165,No,No,Score under 7,Yasamal,60.0,22,Dubai International Hotel,Standard Double Room,2.9,40.37910692339686,49.809651649057464
166,No,Yes,,Sabayil,100.0,,View Apartment Baku,Apartment with Sea View,0.7,40.34018472008257,49.81870865057885
167,No,No,Exceptional,Sabayil,101.0,10,Monolit Apartment,Deluxe Apartment,0.25,40.34018472008257,49.81870865057885
168,No,Yes,,Other,77.0,,Guneshli Apartment,One-Bedroom Apartment,,,
169,No,Yes,Good,Nasimi,270.0,4,Bulvar Residance Sea view,Apartment,1.8,40.39482299502607,49.82684828968684
170,No,Yes,,Sabayil,109.0,,Gloriya 2 bedroom,One-Bedroom Apartment,0.4,40.34018472008257,49.81870865057885
171,No,Yes,,Other,78.0,,Park Azure 47,One-Bedroom Apartment,3.4,,
172,No,Yes,Score under 7,Nasimi,125.0,12,Port Baku Residance Qroup Family,One-Bedroom Apartment,2.1,40.39482299502607,49.82684828968684
173,No,Yes,Exceptional,Nasimi,209.0,3,Special Tropical Marina House,Apartment with Sea View,0.45,40.39482299502607,49.82684828968684
174,No,Yes,Wonderful,Nasimi,316.0,5,Royal Suite Apartment on Nizami Street,Apartment,,40.39482299502607,49.82684828968684
175,No,Yes,Exceptional,Sabayil,250.0,2,CENTRAL APARTMENT BAKU ( Formula 1),Apartment with Terrace,0.5,40.34018472008257,49.81870865057885
176,No,No,Good,Other,72.0,18,Caspian Business Hotel & SPA,Standard Double Room,6.4,,
177,No,No,Exceptional,Nasimi,81.0,4,Apartment near 28 Mall,One-Bedroom Apartment,1.8,40.39482299502607,49.82684828968684
