,breakfast,cancelation,guest_reviews,location,price_AZN,review_number,title,type_room,distance_km,latitude,longitude
877,No,Yes,Wonderful,Old Tbilisi,113.0,49,Old City Apartment,Apartment with Balcony,0.25,41.69209658252052,44.79406059228808
878,Yes,Yes,Very Good,Chugureti,107.0,228,Margi Boutique Hotel,Standard Double or Twin Room,2.4,41.72340168819495,44.82088685166248
879,No,Yes,Very Good,Vake,31.0,37,Birdhouse rooms,Twin Room,2.7,41.70553522376798,44.75495342831405
880,No,Yes,Exceptional,Old Tbilisi,129.0,215,3 Heritage Rooms,Twin Room with Bathroom,0.3,41.69209658252052,44.79406059228808
881,No,Yes,Exceptional,Old Tbilisi,55.0,4,Bonus Inn,Standard Twin Room with Mountain View,,41.69209658252052,44.79406059228808
882,Yes,No,Wonderful,Vera,163.0,115,Boutique Hotel British House,Budget Double Room,1.8,41.70761261768468,44.787408551790755
883,Yes,No,Wonderful,Chugureti,176.0,261,Elea Old Tbilisi Hotel,Double Room,,41.72340168819495,44.82088685166248
884,No,No,Very Good,Old Tbilisi,86.0,189,Hotel Cordata,Twin Room with Balcony,0.4,41.69209658252052,44.79406059228808
885,No,Yes,Very Good,Chugureti,161.0,295,Urban Apartments 116,Standard Double or Twin Room with Garden View,2.1,41.72340168819495,44.82088685166248
886,No,Yes,Wonderful,Old Tbilisi,45.0,4,Chocolate Studio In Old Tbilisi,Superior Single Room,1.5,41.69209658252052,44.79406059228808
887,No,Yes,Exceptional,Mtatsminda,144.0,1,KuXoS Apartment on Zubalashvilebi Street,Two-Bedroom Apartment,0.8,41.693060457156996,44.78551384334914
888,No,No,Good,Mtatsminda,105.0,240,Opera Tbilisi Old Art Boutique Hotel,Standard Single Room,1.1,41.693060457156996,44.78551384334914
889,No,Yes,Exceptional,Chugureti,56.0,10,Apartment Mari,One-Bedroom Apartment,1.1,41.72340168819495,44.82088685166248
890,No,No,Very Good,Mtatsminda,25.0,63,Manana House,Apartment,1.1,41.693060457156996,44.78551384334914
891,No,Yes,Excellent,Mtatsminda,138.0,199,Shota Rustaveli Aparthotel 14 AVE,Apartment,0.7,41.693060457156996,44.78551384334914
